id,name,main_role,sub_role,class_1,class_2,Gold_Phys_Dmg,Gold_Mag_Dmg,Gold_DPS,Gold_Durability,Gold_CC,Gold_Poke,Gold_Engage,Gold_Utility,Gold_Kiting
266,Aatrox,Top,Jungle,Juggernaut,,1256.43,0.0,95.13,3.27,4.0,8.25,1.25,0.15,1.75
103,Ahri,Mid,,Burst,,0.0,1198.8,84.37,2.69,4.5,10.0,2.8,0.0,5.5
84,Akali,Mid,Top,Assassin,,0.0,1592.32,99.4,3.18,0.5,8.25,0.68,0.05,1.25
166,Akshan,Mid,,Marksman,Assassin,1854.19,0.0,82.78,2.87,0.0,8.5,2.0,0.0,5.0
12,Alistar,Support,,Vanguard,,0.0,660.0,63.48,4.15,8.25,6.5,2.92,0.0,1.25
799,Ambessa,Top,Jungle,Diver,Skirmisher,1076.7,0.0,76.3,3.15,4.12,6.5,3.38,2.5,1.25
32,Amumu,Jungle,Support,Vanguard,,0.0,816.0,70.05,3.41,10.5,11.0,5.94,0.0,1.25
34,Anivia,Mid,Support,Battlemage,,0.0,1466.4,79.81,2.45,7.88,11.0,4.12,0.1,6.0
1,Annie,Mid,Support,Burst,,0.0,1278.0,66.66,2.51,4.38,8.0,1.72,0.6,6.25
523,Aphelios,Bot,,Marksman,,315.85,0.0,120.92,2.71,7.88,14.5,4.86,3.7,5.5
22,Ashe,Bot,Support,Marksman,,520.31,624.0,163.33,2.75,8.25,12.0,7.0,0.2,6.0
136,Aurelion Sol,Mid,,Battlemage,,0.0,1304.4,81.28,2.46,4.0,8.7,2.5,0.15,5.5
893,Aurora,Mid,Top,Burst,Assassin,0.0,1107.6,83.86,2.88,3.0,9.0,0.7,0.3,5.5
268,Azir,Mid,,Specialist,,0.0,1214.0,94.8,2.85,3.5,11.0,0.8,0.8,5.25
432,Bard,Support,,Catcher,,0.0,320.0,68.05,2.93,12.9,8.5,10.6,12.0,5.0
200,Bel'Veth,Jungle,,Skirmisher,,160.87,271.42,74.7,2.97,4.12,6.0,01.05,1.73,1.5
53,Blitzcrank,Support,,Catcher,,0.0,930.0,91.56,03.08,7.2,11.15,3.34,0.1,1.25
63,Brand,Jungle,Support,Burst,,0.0,1646.4,88.2,2.73,4.38,11.0,03.03,0.0,5.5
201,Braum,Support,,Warden,,0.0,452.0,64.18,3.79,14.12,10.5,5.1,4.6,1.25
233,Briar,Jungle,,Diver,,394.76,1202.14,134.78,2.87,11.62,6.5,11.64,7.2,1.25
51,Caitlyn,Bot,,Marksman,,1201.21,192.0,118.74,2.83,4.12,13.0,4.5,0.1,6.5
164,Camille,Top,,Diver,,60.0,200.0,130.33,2.94,6.38,6.5,1.57,0.2,1.25
69,Cassiopeia,Mid,Top,Battlemage,,0.0,1218.0,77.57,2.79,12.0,8.5,2.55,1.0,5.5
31,Cho'Gath,Top,Mid,Specialist,,0.0,1540.0,87.05,2.86,7.1,9.5,1.9,1.66,1.25
42,Corki,Bot,,Marksman,,1036.68,945.36,74.58,2.73,0.0,8.25,1.4,0.0,5.5
122,Darius,Top,Jungle,Juggernaut,,383.75,0.0,82.29,3.31,3.5,4.6,0.95,0.1,1.75
131,Diana,Jungle,Mid,Assassin,Diver,0.0,1241.46,103.46,03.05,3.25,9.0,0.83,2.3,1.5
36,"Dr, Mundo",Jungle,Top,Juggernaut,,151.38,80.0,79.19,03.04,2.0,10.5,0.0,7.2,1.25
119,Draven,Bot,,Marksman,,1576.15,0.0,146.7,2.85,3.25,11.0,1.65,0.2,5.5
245,Ekko,Jungle,Mid,Assassin,,0.0,1302.0,99.64,2.89,3.25,16.0,1.0,2.83,1.25
60,Elise,Jungle,Support,Diver,,0.0,495.0,98.17,2.93,6.0,11.7,4.49,11.0,5.5
28,Evelynn,Jungle,,Assassin,,0.0,1896.0,92.35,2.94,2.0,16.0,0.5,0.2,1.25
81,Ezreal,Bot,,Marksman,,349.65,1761.82,96.53,2.7,0.0,17.0,2.0,0.0,5.5
9,Fiddlesticks,Jungle,Support,Specialist,,0.0,2330.0,64.61,2.98,7.5,8.5,2.8,2.1,4.8
114,Fiora,Top,,Skirmisher,,212.14,210.0,180.87,2.89,3.0,9.0,0.5,5.3,1.5
105,Fizz,Mid,Jungle,Assassin,,0.0,1482.0,96.05,2.98,4.0,5.5,1.3,0.4,1.75
3,Galio,Mid,Support,Warden,,0.0,840.0,56.68,3.92,9.5,8.25,8.0,2.2,1.5
41,Gangplank,Top,Mid,Specialist,,394.99,1680.0,98.99,3.16,5.38,10.0,4.5,0.68,1.25
86,Garen,Top,,Juggernaut,,589.57,0.0,103.5,2.94,1.0,1.75,0.4,0.75,1.75
150,Gnar,Top,,Specialist,,1083.1,260.04,157.54,2.23,4.0,30.0,0.47,0.4,1.75
79,Gragas,Jungle,Top,Vanguard,,0.0,984.0,66.72,3.96,6.0,8.5,3.6,2.0,1.25
104,Graves,Jungle,,Specialist,,1197.34,120.0,69.83,2.92,3.62,9.5,3.8,02.05,4.25
887,Gwen,Top,Jungle,Skirmisher,,0.0,300.0,148.38,3.26,1.25,4.65,1.35,10.12,1.5
120,Hecarim,Jungle,,Diver,,501.04,750.0,90.86,03.09,5.62,5.25,5.89,0.0,1.75
74,Heimerdinger,Top,Support,Specialist,,0.0,1085.56,64.26,2.57,5.75,11.05,2.31,0.2,5.5
910,Hwei,Mid,Support,Artillery,,0.0,1697.19,94.11,2.81,8.5,10.75,5.36,2.7,5.5
420,Illaoi,Top,,Juggernaut,,425.68,0.0,95.32,3.3,1.5,9.5,0.5,0.15,1.25
39,Irelia,Top,Mid,Diver,,581.33,440.0,104.52,3.21,3.38,8.95,2.1,0.15,2.0
427,Ivern,Jungle,,Catcher,,515.0,600.0,73.24,2.77,8.4,11.5,3.45,2.55,4.75
40,Janna,Support,,Enchanter,,0.0,280.0,49.39,2.5,5.75,17.6,4.4,14.2,5.5
59,Jarvan IV,Jungle,,Diver,,768.7,320.0,105.51,03.03,12.62,8.6,4.95,0.8,1.75
24,Jax,Top,Jungle,Skirmisher,,179.54,945.0,100.34,2.99,2.5,7.0,0.75,2.0,1.25
126,Jayce,Top,Jungle,Artillery,,710.5,774.65,110.69,2.86,2.0,16.0,0.0,0.2,1.25
202,Jhin,Bot,,Marksman,,4194.05,301.22,81.89,2.92,7.62,25.2,6.5,0.2,5.5
